,ph,Hardness,Conductivity,Turbidity,TC,portability
0,3.716080075,129.4229205,592.8853591,4.500656275,8391.0,0
1,8.099124189,224.2362594,418.6062131,3.05593375,5330.0,0
2,8.316765884,214.3733941,363.2665162,4.628770537,8443.0,0
3,9.092223456,181.1015092,398.4108134,4.075075425,5500.0,0
4,5.584086638,188.3133238,280.4679159,2.559708228,4049.0,0
5,10.22386216,248.0717353,283.6516335,2.672988737,5672.0,0
6,8.635848719,203.3615226,474.6076449,4.401424715,9423.0,0
7,11.18028447,227.2314692,563.8854815,4.370561937,4301.0,0
8,7.360640106,165.5207973,425.3834195,3.662291783,7817.0,0
9,7.974521649,218.6933005,364.0982305,4.011718108,3433.0,0
10,7.119824384,156.7049933,347.7150273,3.445756223,18125.0,0
11,7.496232208,205.3449822,444.6453523,4.777382337,9517.0,0
12,6.347271761,186.7328807,516.7432819,4.376348291,2453.0,0
13,7.0517858,211.0494061,315.1412672,4.268428858,3048.0,0
14,9.181560007,273.8138067,477.9746419,4.503660796,6742.0,0
15,8.975464348,279.3571668,431.44399,2.43608559,3052.0,0
16,7.371050302,214.4966105,469.9145515,2.560299148,10250.0,0
17,6.660212026,168.2837469,523.6712975,3.749701241,6367.0,0
18,3.902475686,196.9032467,444.4788825,4.528522696,8925.0,0
19,5.400301781,140.7390623,472.8740733,4.82478639,5082.0,0
20,6.514415093,198.7673513,413.2904501,5.200885077,8625.0,0
21,3.445061864,207.9262602,441.7858757,4.184396969,4003.0,0
22,7.181448581,209.6256005,342.1112863,5.088859989,34.0,0
23,9.825489908,190.7566183,452.8362349,2.857472426,23.0,0
24,10.43329098,117.7912296,412.9868338,5.057310517,29.0,0
25,7.414148196,235.0445345,411.9833642,3.160624468,83.0,0
26,5.115817064,191.952743,441.7483793,3.902088768,45.0,0
27,3.641629777,183.9087223,456.8600959,3.464353035,67.0,0
28,5.618064406,304.2359121,399.4715663,2.896546941,304.0,0
29,9.267187531,198.6143947,396.8769491,4.324004646,474.0,0
30,5.331940479,194.8740654,335.1203984,4.434820258,68.0,0
31,7.145771545,238.6899285,332.0327063,5.182590704,116.0,0
32,9.920691059,202.817483,333.1924699,4.69070723,78.0,0
33,4.758439425,183.3494541,403.9441682,4.542801462,60.0,0
34,5.702925977,216.8504739,504.6382604,4.137739016,58.0,0
35,6.953864226,209.638293,391.1843151,3.195710328,63.0,0
36,10.68296643,173.3754984,323.8079132,3.999775382,47.0,0
37,8.757257397,200.1914004,404.7177992,3.626135442,0.0,0
38,7.809631898,100.4576151,605.2201244,2.447444464,0.0,1
39,6.652488091,145.0101719,545.9749938,3.742090426,0.0,1
40,9.147197055,211.7141418,527.70891,3.794531591,0.0,0
41,10.56074464,181.8933656,456.5564021,3.96468635,28.0,0
42,7.484254838,260.0921726,404.6707773,4.781188177,32.0,0
43,8.520806573,238.3351125,481.3188027,3.94060453,33.0,0
44,4.999413811,190.2870501,405.330482,4.460683932,35.0,0
45,3.906078355,233.402835,269.4490512,3.902879712,31.0,0
46,6.391353624,213.0178297,369.3381209,3.923749169,34.0,0
47,8.692092013,195.1437388,398.345418,4.477960248,40.0,0
48,8.085759801,127.7396738,416.2396301,4.068688909,70.0,0
49,6.203977702,212.3066183,362.1080043,5.215689206,420.0,0
50,5.058108869,238.5693804,669.7250862,5.106655774,691.0,0
51,7.261550522,179.8897882,501.1827807,3.636364183,172.0,0
52,7.160467231,183.08931,428.0363444,3.884891044,304.0,0
53,5.704764776,116.2993299,504.378681,4.157533407,2008.0,0
54,6.217273135,130.9444639,556.65371,5.325833446,590.0,0
55,8.67993497,242.2286673,352.9425881,3.873470298,661.0,0
56,6.897322141,211.3601667,383.0143102,5.02278363,3583.0,0
57,3.514545529,158.7320758,307.379142,3.762615331,1969.0,0
58,3.722500486,163.6397469,467.5629729,3.662837732,1311.0,0
59,6.455004797,176.6839728,477.5813462,2.293431406,590.0,0
60,7.316804754,217.522862,425.9134002,3.50837265,530.0,0
61,1.844538366,233.7643427,410.3872638,5.013463351,2803.0,0
62,5.519125656,168.728583,443.5703721,3.75899586,473.0,0
63,7.408985467,204.9617498,504.1459941,3.772420928,550.0,0
64,5.976769618,258.952732,514.1189201,2.994671096,350.0,0
65,6.395359132,133.8342291,573.4002951,4.191217515,206.0,0
66,6.20964226,195.4177209,417.241656,3.612519615,694.0,0
67,6.762832522,232.0751766,465.4137746,4.916579161,656.0,0
68,9.918717064,199.1812511,430.5077069,3.385508444,426.0,0
69,10.15544017,300.2924758,487.459131,5.00246726,60392.0,0
70,8.721726711,206.3696824,506.9383527,2.555026904,718.0,0
71,6.099646705,237.9199268,291.1048366,3.172789769,37375.0,0
72,9.02678772,253.2170742,588.3196505,2.019042018,409.0,0
73,6.953371603,203.1465468,551.1433372,3.651865808,535.0,0
74,6.140877557,197.8760897,548.0727613,5.359460295,144.0,0
75,7.077874007,220.6705396,333.0507859,4.764508265,705.0,0
76,5.488314309,135.8023617,441.3311375,5.066786272,697.0,0
77,7.205559175,120.3276153,418.4332899,3.710053126,166.0,0
78,9.177869866,163.2748283,426.9943932,3.108769988,159.0,0
79,4.270716195,166.8377085,349.5189104,3.763905903,658.0,0
80,7.348844512,223.2649397,494.1584341,4.880875156,7018.0,0
81,8.52616987,175.6128363,474.2404823,5.083014142,1268.0,0
82,2.612035915,188.8041257,468.0802666,4.76520537,822.0,0
83,8.490571562,204.1236484,435.0008983,3.875556805,88.0,0
84,8.858401531,254.6175187,344.3033625,5.525726338,2950.0,0
85,6.098156521,189.995846,245.859632,3.977362364,447.0,0
86,8.419970682,185.7189888,463.6472774,3.962478314,3375.0,0
87,9.286155021,222.6615514,353.7401,5.23998187,468.0,0
88,7.875895135,226.2847878,445.3741474,4.238589203,542.0,0
89,7.725332908,252.2654912,339.4113267,3.724836704,626.0,0
90,3.388090611,212.0289445,353.9129274,2.798600948,433.0,0
91,6.745306715,218.424637,373.0501016,3.90235259,523.0,0
92,7.183825723,261.8507998,290.4238384,4.597165512,332.0,0
93,10.1119767,240.4321002,403.0418101,3.425763242,284.0,0
94,7.397413299,122.5410399,489.8516004,3.14915751,667.0,0
95,7.812804388,196.583886,442.5457745,6.204846359,541.0,0
96,6.877456933,136.8792139,342.1963466,3.827650072,815.0,0
97,7.521051679,267.0596474,505.7093717,2.880785347,1205.0,0
98,8.550875469,231.2487868,432.28527,3.772886607,785.0,0
99,10.30847766,217.2197464,382.9515048,3.285077052,472.0,0
100,7.371085073,207.7168244,363.1685384,4.412589537,610.0,0
101,11.18069466,228.3008604,504.0505391,3.809841654,796.0,0
102,6.506487767,202.2859379,481.7719343,3.548775589,171.0,0
103,6.643935775,151.8896001,437.9090052,3.812952926,554.0,0
104,5.03377399,155.3214775,500.6373262,3.244948477,151.0,0
105,6.912607562,155.7404952,439.6480512,2.612248953,230.0,0
106,7.977635991,245.8951304,473.6624528,3.5521295,643.0,0
107,6.078335837,197.5019119,360.0604774,4.201580906,103.0,0
108,6.242414484,191.9087295,448.2425267,4.508705098,1633.0,0
109,6.06335479,160.7673113,327.2702387,3.467336915,141.0,0
110,8.129585514,177.8989666,397.0214276,3.362537135,107.0,0
111,9.562405944,202.0136426,433.3816667,3.762719837,1238.0,0
112,8.167792632,200.9137547,525.5987875,4.289395484,1563.0,0
113,8.594416135,270.0227059,672.5569992,3.568991708,65.0,0
114,6.825467901,187.0517097,373.4272355,3.027449578,1223.0,0
115,7.861177701,204.2742411,469.4869612,4.157656628,1342.0,0
116,4.96577356,220.8486386,386.4133315,3.421766849,40500.0,0
117,6.207432968,192.9370271,533.7958508,3.549298841,53556.0,0
